Nom de la protéine,URL UniProt
DDX1,https://www.uniprot.org/uniprot/Q92499
XRCC6,https://www.uniprot.org/uniprot/P12956
GEMIN5,https://www.uniprot.org/uniprot/Q8TEQ6
DROSHA,https://www.uniprot.org/uniprot/Q9NRR4
HNRNPUL1,https://www.uniprot.org/uniprot/Q9BUJ2
FTO,https://www.uniprot.org/uniprot/Q9C0B1
MORC2,https://www.uniprot.org/uniprot/Q9Y6X9
SSB,https://www.uniprot.org/uniprot/Q04837
U2AF2,https://www.uniprot.org/uniprot/P26368
CSTF2T,https://www.uniprot.org/uniprot/Q9H0L4
LARP7,https://www.uniprot.org/uniprot/Q4G0J3
SLBP,https://www.uniprot.org/uniprot/Q14493
EFTUD2,https://www.uniprot.org/uniprot/Q15029
TAF15,https://www.uniprot.org/uniprot/Q92804
ELAC2,https://www.uniprot.org/uniprot/Q9BQ52
RYBP,https://www.uniprot.org/uniprot/Q8N488
WDR43,https://www.uniprot.org/uniprot/Q15061
HNRNPC,https://www.uniprot.org/uniprot/P07910
AGGF1,https://www.uniprot.org/uniprot/Q8N302
SF3B1,https://www.uniprot.org/uniprot/O75533
APOBEC3C,https://www.uniprot.org/uniprot/Q9NRW3
GARS,https://www.uniprot.org/uniprot/P41250
RNF187,https://www.uniprot.org/uniprot/Q5TA31
SRSF1,https://www.uniprot.org/uniprot/Q07955
KHDRBS1,https://www.uniprot.org/uniprot/Q07666
YBX3,https://www.uniprot.org/uniprot/P16989
RPS10,https://www.uniprot.org/uniprot/P46783
SDAD1,https://www.uniprot.org/uniprot/Q9NVU7
HNRNPA1,https://www.uniprot.org/uniprot/P09651
ZNF800,https://www.uniprot.org/uniprot/Q2TB10
BUD13,https://www.uniprot.org/uniprot/Q9BRD0
PRPF8,https://www.uniprot.org/uniprot/Q6P2Q9
KHSRP,https://www.uniprot.org/uniprot/Q92945
PUM1,https://www.uniprot.org/uniprot/Q14671
DDX43,https://www.uniprot.org/uniprot/Q9NXZ2
FUS,https://www.uniprot.org/uniprot/P35637
AKAP8L,https://www.uniprot.org/uniprot/Q9ULX6
GPKOW,https://www.uniprot.org/uniprot/Q92917
RPS6,https://www.uniprot.org/uniprot/P62753
SRSF7,https://www.uniprot.org/uniprot/Q16629
DDX42,https://www.uniprot.org/uniprot/Q86XP3
ZC3H8,https://www.uniprot.org/uniprot/Q8N5P1
APEX1,https://www.uniprot.org/uniprot/P27695
SMNDC1,https://www.uniprot.org/uniprot/O75940
ILF3,https://www.uniprot.org/uniprot/Q12906
FASTKD2,https://www.uniprot.org/uniprot/Q9NYY8
ZC3H11A,https://www.uniprot.org/uniprot/O75152
SRSF9,https://www.uniprot.org/uniprot/Q13242
EXOSC5,https://www.uniprot.org/uniprot/Q9NQT4
AATF,https://www.uniprot.org/uniprot/Q9NY61
SERBP1,https://www.uniprot.org/uniprot/Q8NC51
FAM120A,https://www.uniprot.org/uniprot/Q9NZB2
NPM1,https://www.uniprot.org/uniprot/P06748
SLTM,https://www.uniprot.org/uniprot/Q9NWH9
SBDS,https://www.uniprot.org/uniprot/Q9Y3A5
RBFOX2,https://www.uniprot.org/uniprot/O43251
DDX55,https://www.uniprot.org/uniprot/Q8NHQ9
SAFB2,https://www.uniprot.org/uniprot/Q14151
MBNL1,https://www.uniprot.org/uniprot/Q9NR56
SF3B4,https://www.uniprot.org/uniprot/Q15427
HLTF,https://www.uniprot.org/uniprot/Q14527
ELAVL1,https://www.uniprot.org/uniprot/Q15717
ZNF622,https://www.uniprot.org/uniprot/Q969S3
AARS,https://www.uniprot.org/uniprot/P49588
SND1,https://www.uniprot.org/uniprot/Q7KZF4
MATR3,https://www.uniprot.org/uniprot/P43243
ADAT1,https://www.uniprot.org/uniprot/Q9BUB4
MTPAP,https://www.uniprot.org/uniprot/Q9NVV4
NOLC1,https://www.uniprot.org/uniprot/Q14978
UCHL5,https://www.uniprot.org/uniprot/Q9Y5K5
DGCR8,https://www.uniprot.org/uniprot/Q8WYQ5
ZRANB2,https://www.uniprot.org/uniprot/O95218
FMR1,https://www.uniprot.org/uniprot/Q06787
PHF6,https://www.uniprot.org/uniprot/Q8IWS0
TBRG4,https://www.uniprot.org/uniprot/Q969Z0
PUS1,https://www.uniprot.org/uniprot/Q9Y606
DDX21,https://www.uniprot.org/uniprot/Q9NR30
NCBP2,https://www.uniprot.org/uniprot/P52298
IGF2BP2,https://www.uniprot.org/uniprot/Q9Y6M1
AQR,https://www.uniprot.org/uniprot/O60306
FXR1,https://www.uniprot.org/uniprot/P51114
NIPBL,https://www.uniprot.org/uniprot/Q6KC79
METTL1,https://www.uniprot.org/uniprot/Q9UBP6
ABCF1,https://www.uniprot.org/uniprot/Q8NE71
SAFB,https://www.uniprot.org/uniprot/Q15424
WDR3,https://www.uniprot.org/uniprot/Q9UNX4
LIN28B,https://www.uniprot.org/uniprot/Q6ZN17
DDX51,https://www.uniprot.org/uniprot/Q8N8A6
EIF4G2,https://www.uniprot.org/uniprot/P78344
IGF2BP1,https://www.uniprot.org/uniprot/Q9NZI8
PUM2,https://www.uniprot.org/uniprot/Q8TB72
NSUN2,https://www.uniprot.org/uniprot/Q08J23
HNRNPM,https://www.uniprot.org/uniprot/P52272
RPS11,https://www.uniprot.org/uniprot/P62280
DDX24,https://www.uniprot.org/uniprot/Q9GZR7
FXR2,https://www.uniprot.org/uniprot/P51116
METAP2,https://www.uniprot.org/uniprot/P50579
AKAP1,https://www.uniprot.org/uniprot/Q92667
U2AF1,https://www.uniprot.org/uniprot/Q01081
DDX3X,https://www.uniprot.org/uniprot/O00571
UTP18,https://www.uniprot.org/uniprot/Q9Y5J1
LSM11,https://www.uniprot.org/uniprot/P83369
TRA2A,https://www.uniprot.org/uniprot/Q13595
EIF4E,https://www.uniprot.org/uniprot/P06730
CPEB4,https://www.uniprot.org/uniprot/Q17RY0
GTF2F1,https://www.uniprot.org/uniprot/P35269
PTBP1,https://www.uniprot.org/uniprot/P26599
UTP3,https://www.uniprot.org/uniprot/Q9NQZ2
GNL3,https://www.uniprot.org/uniprot/Q9BVP2
HNRNPK,https://www.uniprot.org/uniprot/P61978
LARP4,https://www.uniprot.org/uniprot/Q71RC2
RPS3,https://www.uniprot.org/uniprot/P23396
TARDBP,https://www.uniprot.org/uniprot/Q13148
GRWD1,https://www.uniprot.org/uniprot/Q9BQ67
XRN2,https://www.uniprot.org/uniprot/Q9H0D6
HNRNPL,https://www.uniprot.org/uniprot/P14866
EWSR1,https://www.uniprot.org/uniprot/Q01844
DHX30,https://www.uniprot.org/uniprot/Q7L2E3
CPSF6,https://www.uniprot.org/uniprot/Q16630
PCBP1,https://www.uniprot.org/uniprot/Q15365
DDX47,https://www.uniprot.org/uniprot/Q9H0S4
HNRNPU,https://www.uniprot.org/uniprot/Q00839
RBM15,https://www.uniprot.org/uniprot/Q96T37
EXOSC10,https://www.uniprot.org/uniprot/Q01780
TROVE2,https://www.uniprot.org/uniprot/P10155
QKI,https://www.uniprot.org/uniprot/Q96PU8
WRN,https://www.uniprot.org/uniprot/Q14191
DDX52,https://www.uniprot.org/uniprot/Q9Y2R4
RBM22,https://www.uniprot.org/uniprot/Q9NW64
EIF3G,https://www.uniprot.org/uniprot/O75821
PABPC4,https://www.uniprot.org/uniprot/Q13310
YWHAG,https://www.uniprot.org/uniprot/P61981
